distribution,spec,kind,bits,granularity,scale_mode,nrmse
gaussian,int8|tensor|float|nearest|absmax|ste=identity,int,8,tensor,float,0.010587
gaussian,int8|tensor|pow2/ceil|nearest|absmax|ste=identity,int,8,tensor,pow2/ceil,0.018013
gaussian,int8|tensor|pow2/round|nearest|absmax|ste=identity,int,8,tensor,pow2/round,0.009385
gaussian,int8|tensor|dyadic/m2|nearest|absmax|ste=identity,int,8,tensor,dyadic/m2,0.011264
gaussian,int8|tensor|dyadic/m4|nearest|absmax|ste=identity,int,8,tensor,dyadic/m4,0.010719
gaussian,int8|row|float|nearest|absmax|ste=identity,int,8,row,float,0.007879
gaussian,int8|row|pow2/ceil|nearest|absmax|ste=identity,int,8,row,pow2/ceil,0.009888
gaussian,int8|row|pow2/round|nearest|absmax|ste=identity,int,8,row,pow2/round,0.009385
gaussian,int8|row|dyadic/m2|nearest|absmax|ste=identity,int,8,row,dyadic/m2,0.008724
gaussian,int8|row|dyadic/m4|nearest|absmax|ste=identity,int,8,row,dyadic/m4,0.007941
gaussian,int8|block64|float|nearest|absmax|ste=identity,int,8,block64,float,0.005939
gaussian,int8|block64|pow2/ceil|nearest|absmax|ste=identity,int,8,block64,pow2/ceil,0.008931
gaussian,int8|block64|pow2/round|nearest|absmax|ste=identity,int,8,block64,pow2/round,0.062764
gaussian,int8|block64|dyadic/m2|nearest|absmax|ste=identity,int,8,block64,dyadic/m2,0.015137
gaussian,int8|block64|dyadic/m4|nearest|absmax|ste=identity,int,8,block64,dyadic/m4,0.006771
gaussian,int7|tensor|float|nearest|absmax|ste=identity,int,7,tensor,float,0.021358
gaussian,int7|tensor|pow2/ceil|nearest|absmax|ste=identity,int,7,tensor,pow2/ceil,0.036119
gaussian,int7|tensor|pow2/round|nearest|absmax|ste=identity,int,7,tensor,pow2/round,0.018221
gaussian,int7|tensor|dyadic/m2|nearest|absmax|ste=identity,int,7,tensor,dyadic/m2,0.022555
gaussian,int7|tensor|dyadic/m4|nearest|absmax|ste=identity,int,7,tensor,dyadic/m4,0.02144
gaussian,int7|row|float|nearest|absmax|ste=identity,int,7,row,float,0.015927
gaussian,int7|row|pow2/ceil|nearest|absmax|ste=identity,int,7,row,pow2/ceil,0.019731
gaussian,int7|row|pow2/round|nearest|absmax|ste=identity,int,7,row,pow2/round,0.018221
gaussian,int7|row|dyadic/m2|nearest|absmax|ste=identity,int,7,row,dyadic/m2,0.016358
gaussian,int7|row|dyadic/m4|nearest|absmax|ste=identity,int,7,row,dyadic/m4,0.015944
gaussian,int7|block64|float|nearest|absmax|ste=identity,int,7,block64,float,0.011976
gaussian,int7|block64|pow2/ceil|nearest|absmax|ste=identity,int,7,block64,pow2/ceil,0.017846
gaussian,int7|block64|pow2/round|nearest|absmax|ste=identity,int,7,block64,pow2/round,0.063808
gaussian,int7|block64|dyadic/m2|nearest|absmax|ste=identity,int,7,block64,dyadic/m2,0.018344
gaussian,int7|block64|dyadic/m4|nearest|absmax|ste=identity,int,7,block64,dyadic/m4,0.012443
gaussian,int6|tensor|float|nearest|absmax|ste=identity,int,6,tensor,float,0.043336
gaussian,int6|tensor|pow2/ceil|nearest|absmax|ste=identity,int,6,tensor,pow2/ceil,0.07221
gaussian,int6|tensor|pow2/round|nearest|absmax|ste=identity,int,6,tensor,pow2/round,0.036258
gaussian,int6|tensor|dyadic/m2|nearest|absmax|ste=identity,int,6,tensor,dyadic/m2,0.045
gaussian,int6|tensor|dyadic/m4|nearest|absmax|ste=identity,int,6,tensor,dyadic/m4,0.042804
gaussian,int6|row|float|nearest|absmax|ste=identity,int,6,row,float,0.032311
gaussian,int6|row|pow2/ceil|nearest|absmax|ste=identity,int,6,row,pow2/ceil,0.040333
gaussian,int6|row|pow2/round|nearest|absmax|ste=identity,int,6,row,pow2/round,0.036258
