kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
10.0,fp32,-,,0,0.18181818181818182,3000,,3.186869640681969e-14,2.7466610632143813e-14,True,9.5367431640625e-07,,0.33738999999999997,,0.0,4,2.26
10.0,fp32,-,,1,0.18181818181818182,3000,,3.186869640681969e-14,2.7466610632143813e-14,True,9.5367431640625e-07,,0.33738999999999997,,0.0,4,2.45
10.0,fp32,-,,2,0.18181818181818182,3000,,3.186869640681969e-14,2.7466610632143813e-14,True,9.5367431640625e-07,,0.33738999999999997,,0.0,4,2.6
10.0,16,rtn,,0,0.18181818181818182,3000,0.00024414807580797754,6.5734620426221e-09,6.5734620426221e-09,True,0.00036662817001342773,1.5016631558537483,1.0,0,0.0,4,4.84
10.0,16,rtn,,1,0.18181818181818182,3000,0.00024414807580797754,6.5734620426221e-09,6.5734620426221e-09,True,0.00036662817001342773,1.5016631558537483,1.0,0,0.0,4,4.71
10.0,16,rtn,,2,0.18181818181818182,3000,0.00024414807580797754,6.5734620426221e-09,6.5734620426221e-09,True,0.00036662817001342773,1.5016631558537483,1.0,0,0.0,4,4.63
10.0,16,sr,,0,0.18181818181818182,3000,0.00024414807580797754,1.4940200435800166e-08,1.2915573608931166e-08,True,0.0003796219825744629,1.5548841878771782,0.6827550000000001,,0.0,4,5.01
10.0,16,sr,,1,0.18181818181818182,3000,0.00024414807580797754,1.587246699908546e-08,1.2197991833118983e-08,True,0.0003928281366825104,1.6089749443344772,0.67884,,0.0,4,8.96
10.0,16,sr,,2,0.18181818181818182,3000,0.00024414807580797754,1.5208817864679878e-08,1.2903484619113701e-08,True,0.00034536421298980713,1.4145686458796263,0.6791800000000001,,0.0,4,6.68
10.0,16,ef,,0,0.18181818181818182,3000,0.00024414807580797754,1.704980308363581e-08,1.4517194612749218e-08,True,0.000344887375831604,1.412615580484271,0.47448,,0.0,4,9.57
10.0,16,ef,,1,0.18181818181818182,3000,0.00024414807580797754,1.704980308363581e-08,1.4517194612749218e-08,True,0.000344887375831604,1.412615580484271,0.47448,,0.0,4,11.81
10.0,16,ef,,2,0.18181818181818182,3000,0.00024414807580797754,1.704980308363581e-08,1.4517194612749218e-08,True,0.000344887375831604,1.412615580484271,0.47448,,0.0,4,9.46
10.0,12,rtn,,0,0.18181818181818182,3000,0.0039081582804103565,1.816685831152968e-06,1.816685831152968e-06,True,0.0062420666217803955,1.5971887968480587,1.0,0,0.0,4,10.1
10.0,12,rtn,,1,0.18181818181818182,3000,0.0039081582804103565,1.816685831152968e-06,1.816685831152968e-06,True,0.0062420666217803955,1.5971887968480587,1.0,0,0.0,4,11.47
10.0,12,rtn,,2,0.18181818181818182,3000,0.0039081582804103565,1.816685831152968e-06,1.816685831152968e-06,True,0.0062420666217803955,1.5971887968480587,1.0,0,0.0,4,10.19
10.0,12,sr,,0,0.18181818181818182,3000,0.0039081582804103565,3.5948823925641025e-06,3.148356524394143e-06,True,0.0063256993889808655,1.618588331155479,0.684255,,0.0,4,10.1
10.0,12,sr,,1,0.18181818181818182,3000,0.0039081582804103565,3.7173987546033345e-06,3.353846827849129e-06,True,0.006234526634216309,1.595259502530098,0.68155,,0.0,4,9.12
10.0,12,sr,,2,0.18181818181818182,3000,0.0039081582804103565,3.6241043890933933e-06,3.2447712928296665e-06,True,0.005611717700958252,1.4358982667326927,0.67586,,0.0,4,9.81
10.0,12,ef,,0,0.18181818181818182,3000,0.0039081582804103565,4.148762783789209e-06,3.6624711592173e-06,True,0.004587888717651367,1.1739260256290436,0.501305,,0.0,4,7.89
10.0,12,ef,,1,0.18181818181818182,3000,0.0039081582804103565,4.148762783789209e-06,3.6624711592173e-06,True,0.004587888717651367,1.1739260256290436,0.501305,,0.0,4,9.53
10.0,12,ef,,2,0.18181818181818182,3000,0.0039081582804103565,4.148762783789209e-06,3.6624711592173e-06,True,0.004587888717651367,1.1739260256290436,0.501305,,0.0,4,13.53
10.0,10,rtn,,0,0.18181818181818182,3000,0.015655577299412915,2.788357285156148e-05,2.788357285156148e-05,True,0.021936863660812378,1.4012171663343906,1.0,0,0.0,4,10.12
