kappa,bits,mode,seed,step,rel_gap
10.0,fp32,-,0,0,0.21875085337052066
10.0,fp32,-,0,25,5.3912215838886e-07
10.0,fp32,-,0,50,1.172803034768804e-11
10.0,fp32,-,0,75,2.968925472317386e-14
10.0,fp32,-,0,100,3.0268893628865175e-14
10.0,fp32,-,0,125,3.1437367257395314e-14
10.0,fp32,-,0,150,2.928749666804263e-14
10.0,fp32,-,0,175,3.111748080596227e-14
10.0,fp32,-,0,200,3.0938275712929206e-14
10.0,fp32,-,0,225,2.9533265377204527e-14
10.0,fp32,-,0,250,3.270757875015776e-14
10.0,fp32,-,0,275,2.985595867163203e-14
10.0,fp32,-,0,300,3.27015667606713e-14
10.0,fp32,-,0,325,3.3013634554839195e-14
10.0,fp32,-,0,350,3.4405003568644324e-14
10.0,fp32,-,0,375,3.017835044294743e-14
10.0,fp32,-,0,400,3.303578728251514e-14
10.0,fp32,-,0,425,3.42432117716966e-14
10.0,fp32,-,0,450,3.175137889961754e-14
10.0,fp32,-,0,475,3.2219971008343213e-14
10.0,fp32,-,0,500,3.093598441171743e-14
10.0,fp32,-,0,525,3.1079823427336326e-14
10.0,fp32,-,0,550,3.240229704680323e-14
10.0,fp32,-,0,575,3.099355386637586e-14
10.0,fp32,-,0,600,3.147348527487265e-14
10.0,fp32,-,0,625,3.035897483766922e-14
10.0,fp32,-,0,650,3.214724115577485e-14
10.0,fp32,-,0,675,3.2141402332355085e-14
10.0,fp32,-,0,700,3.078945801901387e-14
10.0,fp32,-,0,725,3.0935313287312535e-14
10.0,fp32,-,0,750,3.13896617095796e-14
10.0,fp32,-,0,775,3.131690218295411e-14
10.0,fp32,-,0,800,3.2856229088711715e-14
10.0,fp32,-,0,825,3.068026244647501e-14
10.0,fp32,-,0,850,3.2503805992092423e-14
10.0,fp32,-,0,875,3.419277243040656e-14
10.0,fp32,-,0,900,3.079183482318015e-14
10.0,fp32,-,0,925,3.1597310447207637e-14
10.0,fp32,-,0,950,3.1199613253048765e-14
10.0,fp32,-,0,975,3.049249140321132e-14
10.0,fp32,-,0,1000,2.8048924747594776e-14
10.0,fp32,-,0,1025,3.086069904605426e-14
10.0,fp32,-,0,1050,3.3289683974458794e-14
10.0,fp32,-,0,1075,2.964975874486837e-14
10.0,fp32,-,0,1100,2.934275762536064e-14
10.0,fp32,-,0,1125,3.251082044932965e-14
10.0,fp32,-,0,1150,3.038795460764684e-14
10.0,fp32,-,0,1175,3.046315176386189e-14
10.0,fp32,-,0,1200,3.146734678786913e-14
10.0,fp32,-,0,1225,3.134460845590061e-14
10.0,fp32,-,0,1250,3.117727640018178e-14
