kappa,bits,mode,rel_gap_a,rel_gap_b,rel_diff,amplification,input_perturbation
100.0,16,rtn,2.2184021670037358e-07,1.82667691843729e-07,0.21444692524037806,279139.08628825785,7.682439893742638e-07
100.0,16,sr,2.4252617435644085e-08,2.2008362397149305e-08,0.10197283187164685,132734.95566780018,7.682439893742638e-07
100.0,16,ef,4.4988419646804665e-08,3.3467986806985714e-08,0.34422246268527606,448063.98415905074,7.682439893742638e-07
100.0,12,rtn,4.266815347474572e-05,4.384764083633034e-05,0.026899676677869154,35014.49676134661,7.682439893742638e-07
100.0,12,sr,5.87209015175842e-06,6.629582917963955e-06,0.1142594904655287,148728.12810236664,7.682439893742638e-07
100.0,12,ef,1.0404909218954126e-05,1.0193019048423214e-05,0.020787773428490728,27058.81688110884,7.682439893742638e-07
100.0,10,rtn,0.0005396799636555382,0.0006319427446641751,0.14599863957242967,190042.0199725166,7.682439893742638e-07
100.0,10,sr,8.98647362203984e-05,0.00012184610281167505,0.26247344685867346,341653.75907784014,7.682439893742638e-07
100.0,10,ef,0.00014722979237779467,0.00015279525962473187,0.03642434497383035,47412.469837216755,7.682439893742638e-07
100.0,8,rtn,0.004020043521053918,0.004020044433997135,2.2709779249288508e-07,0.2956063381346552,7.682439893742638e-07
100.0,8,sr,0.0015995283864907357,0.0016554668363291285,0.03379013617840396,43983.59980131584,7.682439893742638e-07
100.0,8,ef,0.002083113581497987,0.0016490379259159716,0.2632296375724073,342638.0696929479,7.682439893742638e-07
100.0,6,rtn,0.017238275123090376,0.0172382751444994,1.2419469859841013e-09,0.001616604884856528,7.682439893742638e-07
100.0,6,sr,0.02704342782564689,0.02509531779666676,0.07762842633691949,101046.57818429272,7.682439893742638e-07
100.0,6,ef,0.05408889248433917,0.051782963968290636,0.044530639796141726,57964.18899731584,7.682439893742638e-07
100.0,4,rtn,0.19447816613926866,0.1944781595106022,3.4084374645214334e-08,0.04436660112756121,7.682439893742638e-07
100.0,4,sr,0.5129191798400077,0.5129191482226906,6.164191219480305e-08,0.08023741551822684,7.682439893742638e-07
100.0,4,ef,0.8495581532728325,0.8341924205032301,0.018419890173939676,23976.614758734024,7.682439893742638e-07
