config,spec,fp_mul,raw_mul,transcendental,add,mul_block_linears,mul_attention,mul_layernorm,mul_head_embed,mul_other
R0_fp32,R0_fp32 [none],5138546688,5138546688,6815744,2885760,4076863488,457703424,0,0,603979776
R1_ternary,R1_ternary [w=ternary|tensor|float|nearest|absmean|ste=identity],3790209072,5143855152,6815744,2885760,2728525872,457703424,0,0,603979776
R2_act8,R2_act8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],3798491184,5152137264,6815744,2885760,2736807984,457703424,0,0,603979776
R2p5_pow2scales,R2p5_pow2scales [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],3793182768,5152137264,6815744,2898072,2731499568,457703424,0,0,603979776
R2p9_act4,R2p9_act4 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int4|row|float|nearest|absmax|ste=identity],3798491184,5152137264,6815744,2885760,2736807984,457703424,0,0,603979776
C1_actpow2_only,C1_actpow2_only [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],3798491184,5152137264,6815744,2898048,2736807984,457703424,0,0,603979776
C2_tern_x1p5,C2_tern_x1p5 [w=ternary|tensor|float|x1.5|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],3798491184,5152137264,6815744,2885760,2736807984,457703424,0,0,603979776
C3_pow2_round,C3_pow2_round [w=ternary|tensor|pow2/round|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],3793182768,5152137264,6815744,2898072,2731499568,457703424,0,0,603979776
R3b_wgrad8,R3b_wgrad8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity],1098006576,5162778672,6815744,8194176,36323376,457703424,0,0,603979776
R2p95_act4_pow2,R2p95_act4_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int4|row|pow2/ceil|nearest|absmax|ste=identity],3793182768,5152137264,6815744,2898072,2731499568,457703424,0,0,603979776
R6_attn8,R6_attn8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity],958365744,5171183664,6815744,8194176,36323376,318062592,0,0,603979776
R6p5_attn8_pow2,R6p5_attn8_pow2 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale],955416624,5171183664,6815744,8267904,36323376,315113472,0,0,603979776
R6_attn4,R6_attn4 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int4|row|float|nearest|absmax|ste=identity],958365744,5171183664,6815744,8194176,36323376,318062592,0,0,603979776
R7_head8,R7_head8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity head=int8|row|float|nearest|absmax|ste=identity],759075888,5172171824,6815744,8194176,36323376,318062592,0,0,404689920
R7_everything_pow2,R7_everything_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale head=int8|row|pow2/ceil|nearest|absmax|ste=identity],749769776,5172171824,6815744,8282776,31014960,315113472,0,0,403641344
R5_shadow8ef,R5_shadow8ef [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity shadow=8b/ef],1098006576,5162778672,6815744,8194176,36323376,457703424,0,0,603979776
R7_alllayers,R7_alllayers [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity],1098006576,5162778672,6815744,8194176,36323376,457703424,0,0,603979776
