config,device,n_seeds,ppl_mean,ppl_min,ppl_max,pct_vs_fp32,fp_mul,fp_mul_pct_of_fp32,sources
R0_fp32,CPU,3,7.646,7.5982,7.6875,0.0,5138546688,100.0,.
R0_fp32,GPU,3,7.6376,7.5981,7.6603,0.0,5138546688,100.0,gpu
R1_ternary,GPU,3,9.8407,9.7711,9.8998,28.85,3790209072,73.76,gpu
R2_act8,GPU,3,9.8462,9.8237,9.8776,28.92,3798491184,73.92,gpu
R2p5_pow2scales,GPU,1,9.2589,9.2589,9.2589,21.23,3793182768,73.82,gpu
C1_actpow2_only,GPU,3,9.783,9.7567,9.8085,28.09,3798491184,73.92,gpu5
C2_tern_x1p5,GPU,3,9.2355,9.193,9.2928,20.92,3798491184,73.92,gpu5
R2p9_act4,GPU,3,11.2173,11.1828,11.2357,46.87,3798491184,73.92,gpu3
R2p95_act4_pow2,CPU,3,12.0932,11.9781,12.196,58.16,3793182768,73.82,.
R3b_wgrad8,CPU,3,9.839,9.7546,9.8868,28.68,1098006576,21.37,.
R6_attn8,CPU,3,9.697,9.6344,9.7415,26.82,958365744,18.65,.
R6p5_attn8_pow2,CPU,3,9.6317,9.5986,9.6596,25.97,955416624,18.59,.
R7_head8,GPU,3,9.7348,9.6969,9.7939,27.46,759075888,14.77,gpu3
R7_everything_pow2,GPU,3,9.0937,8.9841,9.2346,19.07,749769776,14.59,gpu4
R5_shadow8ef,GPU,3,10.1429,10.0603,10.1981,32.8,1098006576,21.37,gpu2
R5_shadow8sr,GPU,1,10.21,10.21,10.21,33.68,,,gpu2
