config,spec,seed,steps,tokens,val_loss,val_ppl,diverged,frozen_frac_tail,grad_zero_frac_tail,n_quant_sites,max_zero_frac,max_sat_frac,tokens_per_cpu_sec,cpu_seconds,tokens_per_sec,seconds,wall_over_cpu,threads
R0_fp32,R0_fp32 [none],0,10000,20480000,2.0279113054275513,7.598199455148672,False,0.00031447579809286896,0.0,0,0.0,0.0,893.0,22933.4,3456.3,5925.5,0.26,4
R0_fp32,R0_fp32 [none],1,10000,20480000,2.0350132060050963,7.652353181826481,False,0.00031442559338723053,0.0,0,0.0,0.0,973.9,21028.6,3862.6,5302.1,0.25,4
R0_fp32,R0_fp32 [none],2,10000,20480000,2.0395927739143374,7.68747801979075,False,0.00033717318356135987,0.0,0,0.0,0.0,974.1,21024.4,3863.0,5301.5,0.25,4
R3b_wgrad8,R3b_wgrad8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity],0,10000,20480000,2.2911966228485108,9.886761330043427,False,0.014040907118055557,0.04945733886996382,72,0.431664,0.231016,451.0,45414.5,1788.3,11452.4,0.25,4
R3b_wgrad8,R3b_wgrad8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity],1,10000,20480000,2.2777439022064208,9.75464812526771,False,0.01402883369610282,0.04797804059056369,72,0.419694,0.231682,452.3,45278.2,1794.4,11413.4,0.25,4
R3b_wgrad8,R3b_wgrad8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity],2,10000,20480000,2.290052833557129,9.875459423039922,False,0.01400988546849088,0.049968369850853615,72,0.424008,0.230369,449.9,45518.7,1785.1,11472.7,0.25,4
R2p95_act4_pow2,R2p95_act4_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int4|row|pow2/ceil|nearest|absmax|ste=identity],0,10000,20480000,2.493661713600159,12.105522017714168,False,0.00031338748963515755,0.0,48,0.797802,0.152884,681.4,30056.9,2703.1,7576.5,0.25,4
R2p95_act4_pow2,R2p95_act4_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int4|row|pow2/ceil|nearest|absmax|ste=identity],1,10000,20480000,2.5011064910888674,12.195981242113454,False,0.00039135539749170814,0.0,48,0.791576,0.149072,680.4,30099.5,2699.7,7586.2,0.25,4
R2p95_act4_pow2,R2p95_act4_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int4|row|pow2/ceil|nearest|absmax|ste=identity],2,10000,20480000,2.4830838775634767,11.978146656190413,False,0.0003932907079187396,0.0,48,0.806158,0.145717,408.2,50174.4,106.1,193014.5,3.85,4
R6_attn8,R6_attn8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity],0,10000,20480000,2.2653348731994627,9.63435034669761,False,0.014004256063432837,0.04938170569650921,96,0.634938,0.230173,274.0,74753.8,479.2,42740.1,0.57,4
R6_attn8,R6_attn8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity],1,10000,20480000,2.273682293891907,9.715108916082752,False,0.013986294115360696,0.048735349095130866,96,0.649377,0.231877,386.5,52982.0,1525.4,13426.2,0.25,4
R6_attn8,R6_attn8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity],2,10000,20480000,2.2763985443115233,9.74153345634024,False,0.013995112328980099,0.04924960712984964,96,0.657921,0.230382,362.8,56443.1,1400.3,14625.4,0.26,4
R6p5_attn8_pow2,R6p5_attn8_pow2 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale],0,10000,20480000,2.261617889404297,9.598606094139198,False,0.013908847688640133,0.045284037812839656,96,0.702402,0.230009,365.6,56012.9,1350.4,15166.2,0.27,4
R6p5_attn8_pow2,R6p5_attn8_pow2 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale],1,10000,20480000,2.267953281402588,9.659610064371321,False,0.014008206040111942,0.04443521067336213,96,0.701957,0.231371,391.8,52271.4,1512.8,13538.1,0.26,4
R6p5_attn8_pow2,R6p5_attn8_pow2 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale],2,10000,20480000,2.2656040620803832,9.636944155782453,False,0.013986252008188226,0.04487427127391321,96,0.693384,0.230161,411.2,49802.2,1624.5,12606.7,0.25,4
